Species,longitude,latitude,prov,date,key
Helianthus agrestis,-80.997262,28.56967,gbif,10/11/2019,2429487347
Helianthus agrestis,-81.517289,26.427672,gbif,10/13/2019,2429574192
Helianthus agrestis,-81.787947,26.480325,gbif,10/17/2019,2429627276
Helianthus agrestis,-81.604108,26.375611,gbif,10/9/2019,2447845745
Helianthus agrestis,-82.024405,26.85037,gbif,10/18/2019,2460108334
Helianthus agrestis,-80.7144,27.4497,gbif,10/10/2015,1563894250
Helianthus agrestis,-80.8558,28.3661,gbif,10/5/2013,1503272397
Helianthus agrestis,-80.8889,28.4925,gbif,9/1/2012,1503271756
Helianthus agrestis,-81.4425,26.9975,gbif,11/11/2011,1503265571
Helianthus agrestis,-82.3278,27.1175,gbif,8/23/2007,1503252996
Helianthus agrestis,-81.67,26.33,gbif,10/11/1985,1096644586
Helianthus agrestis,-80.815845,28.611571,gbif,NA,1304886768
Helianthus agrestis,-80.849762,28.589345,gbif,NA,1304886793
Helianthus agrestis,-82.75,28.133333,gbif,NA,1305001440
Helianthus agrestis,-81.216667,28.783333,gbif,NA,1305001465
Helianthus agrestis,-80.8,28.6,gbif,NA,1305001474
Helianthus agrestis,-80.8,28.6,gbif,NA,1305001502
Helianthus agrestis,-82.566667,27.483333,gbif,NA,1305001508
Helianthus agrestis,-83.174594,34.20983,gbif,NA,1849102442
Helianthus agrestis,-82.25,27.3,idigbio,10/17/1998,1b31d56f-3bfb-4d42-a10e-5ca48ed3d4cd
Helianthus agrestis,-80.66326999,28.49460065,idigbio,9/29/1963,2086ddad-417e-44b9-90b8-19fb244ef13a
Helianthus agrestis,-80.8889,28.4925,idigbio,9/1/2012,2926b911-b17d-4f34-a553-5c7c746cbf51
Helianthus agrestis,-80.66326999,28.49460065,idigbio,9/29/1963,29b570cf-bcc6-4c4e-b08d-48cf414fe72c
Helianthus agrestis,-81.524217,30.751317,idigbio,10/15/2007,3b6ef56a-68a9-4fc3-93b2-05ca5f0bac93
Helianthus agrestis,-80.66326999,28.49460065,idigbio,9/29/1963,3d4eaa07-cb65-47e4-82e4-bf54ca16758b
Helianthus agrestis,-81.524217,30.751317,idigbio,10/15/2007,43584901-d045-44fb-aa30-422a12840416
Helianthus agrestis,-80.66326999,28.49460065,idigbio,9/29/1963,68ae76a2-9475-4da0-86d4-b81ea09dbfbb
Helianthus agrestis,-82.234126,27.302838,idigbio,10/4/1978,68e1e2ef-1d70-4068-b499-b6bf303054b5
Helianthus agrestis,-82.479444,27.188056,idigbio,10/6/1998,6c28cd01-636b-4ab3-90ac-796af83a96cf
Helianthus agrestis,-82.84523408,28.17050317,idigbio,10/16/1950,6ef189d4-f243-45a2-87b2-fc5a5f4c8e3e
Helianthus agrestis,-82.61487946,27.36298103,idigbio,9/21/1973,852dd3a5-c810-4569-9dec-2114096c6e01
Helianthus agrestis,-81.80483542,26.89727192,idigbio,10/8/1962,8a9d7381-acb8-4e0e-85a0-db2c817c4fb6
Helianthus agrestis,-80.66326999,28.49460065,idigbio,9/29/1963,a7c656c2-9046-44b7-9e7f-a597ffdfe537
Helianthus agrestis,-80.8558,28.3661,idigbio,10/5/2013,b0f25e54-63a0-4ffb-a003-016cda1f6a7b
Helianthus agrestis,-83.1745942,34.2098303,idigbio,NA,b1de50de-b937-48e0-ba82-60ea94c4f620
Helianthus agrestis,-82.256667,27.311389,idigbio,8/19/1997,cd6d0c8a-4cbc-4cc5-96d0-396788c8016b
Helianthus agrestis,-82.3278,27.1175,idigbio,8/23/2007,cf085109-e2c5-4b17-a01e-47d8114764e5
Helianthus agrestis,-81.4425,26.9975,idigbio,11/11/2011,d1faba76-d7da-46ea-84b2-cd7a4e2a3909
Helianthus agrestis,-80.7144,27.4497,idigbio,10/10/2015,d4711b28-9952-414b-9d16-bb4814ef9b17
Helianthus agrestis,-80.66326999,28.49460065,idigbio,8/22/1957,d9312b90-b3c2-4c2a-a68b-7b93f57e6efe
Helianthus agrestis,-81.80483542,26.89727192,idigbio,11/20/1964,d9c38ab6-74ca-4f70-b35f-ef6731b5264a
Helianthus agrestis,-80.66326999,28.49460065,idigbio,9/29/1963,e8c4e450-92f7-4b69-9f16-d7af2207477a
Helianthus angustifolius,-88.71428,30.376863,gbif,1/19/2020,2563516298
Helianthus angustifolius,-88.661199,30.446472,gbif,1/16/2019,1990515546
Helianthus angustifolius,-88.661352,30.44595,gbif,1/16/2019,1990515660
Helianthus angustifolius,-86.934527,31.438397,gbif,1/19/2019,1990534134
Helianthus angustifolius,-94.953991,29.460961,gbif,4/26/2019,2238827869
Helianthus angustifolius,-95.2495,29.614359,gbif,4/27/2019,2238853007
Helianthus angustifolius,-95.224872,29.439311,gbif,4/27/2019,2238871321
Helianthus angustifolius,-96.767604,32.988841,gbif,4/27/2019,2242766524
Helianthus angustifolius,-84.255827,30.472562,gbif,4/29/2019,2242788541
Helianthus angustifolius,-94.765413,29.527405,gbif,4/29/2019,2242814161
Helianthus angustifolius,-95.800471,29.524591,gbif,4/28/2019,2242833271
Helianthus angustifolius,-95.24959,29.614313,gbif,4/27/2019,2273202471
Helianthus angustifolius,-95.446973,29.674833,gbif,4/11/2019,2429199263
Helianthus angustifolius,-95.447982,29.661702,gbif,4/26/2019,2429200924
Helianthus angustifolius,-95.449461,29.766504,gbif,4/27/2019,2429201316
Helianthus angustifolius,-94.765647,29.527807,gbif,4/27/2019,2429201956
Helianthus angustifolius,-94.765567,29.527209,gbif,4/27/2019,2429202564
Helianthus angustifolius,-95.281995,29.159999,gbif,5/5/2019,2242851341
Helianthus angustifolius,-95.347158,29.165319,gbif,5/5/2019,2242856088
Helianthus angustifolius,-78.994347,35.648972,gbif,5/17/2019,2251851145
Helianthus angustifolius,-95.44777,29.769012,gbif,5/14/2019,2429204869
Helianthus angustifolius,-90.125094,31.1447,gbif,6/8/2019,2273212110
Helianthus angustifolius,-84.083034,30.518505,gbif,6/12/2019,2283028579
Helianthus angustifolius,-95.629349,29.368782,gbif,6/4/2019,2311366969
Helianthus angustifolius,-94.296438,30.964265,gbif,6/2/2019,2429208202
Helianthus angustifolius,-93.048383,30.943717,gbif,7/20/2019,2294597290
Helianthus angustifolius,-95.013386,29.948026,gbif,7/21/2019,2311323359
Helianthus angustifolius,-88.041489,36.802075,gbif,7/10/2019,2540732572
Helianthus angustifolius,-87.084258,36.440887,gbif,8/19/2019,2366106411
Helianthus angustifolius,-88.846737,33.597585,gbif,8/24/2019,2397541819
Helianthus angustifolius,-90.140881,30.487349,gbif,8/25/2019,2397554813
Helianthus angustifolius,-86.261628,35.371222,gbif,8/24/2019,2397613419
Helianthus angustifolius,-94.955711,29.458297,gbif,8/23/2019,2429233114
Helianthus angustifolius,-85.216261,35.619434,gbif,8/14/2019,2542902358
Helianthus angustifolius,-79.399552,33.151322,gbif,9/1/2019,2422913937
Helianthus angustifolius,-87.043228,36.412333,gbif,9/5/2019,2422925941
Helianthus angustifolius,-95.442178,29.776655,gbif,9/12/2019,2423036978
Helianthus angustifolius,-95.167745,30.135687,gbif,9/12/2019,2423041767
Helianthus angustifolius,-89.966619,30.507051,gbif,9/14/2019,2423069372
Helianthus angustifolius,-87.037133,33.162524,gbif,9/14/2019,2423077552
Helianthus angustifolius,-93.24604,30.186016,gbif,9/17/2019,2423124671
Helianthus angustifolius,-76.976547,36.514783,gbif,9/17/2019,2423126486
Helianthus angustifolius,-92.375733,34.998588,gbif,9/18/2019,2423138038
Helianthus angustifolius,-79.136801,35.817098,gbif,9/19/2019,2423146390
Helianthus angustifolius,-80.923272,35.364281,gbif,9/22/2019,2423189263
Helianthus angustifolius,-94.004849,32.819034,gbif,9/25/2019,2423239847
Helianthus angustifolius,-94.079125,33.477449,gbif,9/5/2019,2429240558
Helianthus angustifolius,-94.94262,33.788272,gbif,9/16/2019,2429253415
Helianthus angustifolius,-94.932998,33.796503,gbif,9/17/2019,2429254744
Helianthus angustifolius,-95.452025,29.765387,gbif,9/24/2019,2429258825
Helianthus angustifolius,-87.38288,36.065407,gbif,9/25/2019,2429261291
Helianthus angustifolius,-95.447609,29.675142,gbif,9/26/2019,2429263657
Helianthus angustifolius,-89.132964,31.400648,gbif,9/26/2019,2429263671
Helianthus angustifolius,-95.79985,30.026797,gbif,9/26/2019,2429263822
Helianthus angustifolius,-92.411174,34.756766,gbif,9/27/2019,2429287611
Helianthus angustifolius,-80.159439,34.99717,gbif,9/29/2019,2429305015
Helianthus angustifolius,-89.802947,33.800517,gbif,9/29/2019,2429308457
Helianthus angustifolius,-94.072435,33.441074,gbif,9/29/2019,2429312354
Helianthus angustifolius,-79.986503,35.073075,gbif,9/29/2019,2429314436
Helianthus angustifolius,-79.985962,35.073097,gbif,9/29/2019,2429314453
Helianthus angustifolius,-89.403554,31.344029,gbif,9/30/2019,2429316797
Helianthus angustifolius,-88.424722,30.423471,gbif,9/30/2019,2429318267
Helianthus angustifolius,-86.412247,31.462683,gbif,9/30/2019,2429320279
Helianthus angustifolius,-93.282991,30.6282,gbif,9/30/2019,2429324129
Helianthus angustifolius,-81.446701,28.139944,gbif,9/29/2019,2429378983
Helianthus angustifolius,-89.403717,34.565575,gbif,9/18/2019,2456507319
Helianthus angustifolius,-89.859093,34.073213,gbif,9/21/2019,2456523120
Helianthus angustifolius,-87.818602,30.41496,gbif,9/16/2019,2465125354
Helianthus angustifolius,-84.937513,36.108597,gbif,9/17/2019,2517956782
Helianthus angustifolius,-81.446701,28.139944,gbif,9/29/2019,2540741160
Helianthus angustifolius,-87.603759,30.281801,gbif,10/1/2019,2429333333
Helianthus angustifolius,-95.447077,29.660883,gbif,10/1/2019,2429337564
Helianthus angustifolius,-94.954282,29.458958,gbif,10/2/2019,2429352472
Helianthus angustifolius,-89.40921,31.344641,gbif,10/1/2019,2429360008
Helianthus angustifolius,-95.109787,29.671268,gbif,10/4/2019,2429373786
Helianthus angustifolius,-89.920651,32.542906,gbif,10/4/2019,2429376279
Helianthus angustifolius,-89.920651,32.542906,gbif,10/4/2019,2429376713
Helianthus angustifolius,-80.239028,34.908108,gbif,10/1/2019,2429379457
Helianthus angustifolius,-95.11003,29.671493,gbif,10/4/2019,2429379945
Helianthus angustifolius,-95.44862,29.762781,gbif,10/5/2019,2429384622
Helianthus angustifolius,-86.934891,31.438501,gbif,10/5/2019,2429385917
Helianthus angustifolius,-95.109648,29.671423,gbif,10/4/2019,2429388084
Helianthus angustifolius,-95.922605,29.927358,gbif,10/4/2019,2429391581
Helianthus angustifolius,-88.950614,30.774489,gbif,10/5/2019,2429393579
Helianthus angustifolius,-92.779345,34.898871,gbif,10/5/2019,2429407697
Helianthus angustifolius,-86.735122,33.020898,gbif,10/6/2019,2429409355
Helianthus angustifolius,-95.600853,29.898005,gbif,10/6/2019,2429418169
Helianthus angustifolius,-95.600137,29.897542,gbif,10/6/2019,2429418646
Helianthus angustifolius,-95.612463,29.922603,gbif,10/6/2019,2429420253
Helianthus angustifolius,-95.561058,28.944958,gbif,10/7/2019,2429420295
Helianthus angustifolius,-79.046081,36.037587,gbif,10/6/2019,2429420660
Helianthus angustifolius,-95.443173,29.765528,gbif,10/7/2019,2429421352
Helianthus angustifolius,-95.507067,29.942648,gbif,10/7/2019,2429422942
Helianthus angustifolius,-90.163925,30.511067,gbif,10/6/2019,2429426674
Helianthus angustifolius,-87.603981,32.696587,gbif,10/6/2019,2429442404
Helianthus angustifolius,-94.952392,29.456567,gbif,10/4/2019,2429511413
Helianthus angustifolius,-87.006675,33.196708,gbif,10/6/2019,2429515708
Helianthus angustifolius,-90.704346,35.767359,gbif,10/9/2019,2429522475
Helianthus angustifolius,-76.944467,35.991853,gbif,10/9/2019,2429524120
Helianthus angustifolius,-88.898566,30.707873,gbif,10/8/2019,2429531989
Helianthus angustifolius,-83.387812,30.796653,gbif,10/10/2019,2429534268
Helianthus angustifolius,-85.202327,29.700753,gbif,10/10/2019,2429539082
Helianthus angustifolius,-95.292503,29.435833,gbif,10/10/2019,2429540210
Helianthus angustifolius,-97.604916,33.590697,gbif,10/10/2019,2429540544
Helianthus angustifolius,-88.630981,30.378461,gbif,10/11/2019,2429549340
Helianthus angustifolius,-85.939651,32.57386,gbif,10/8/2019,2429552020
Helianthus angustifolius,-83.90577,34.346242,gbif,10/10/2019,2429553919
Helianthus angustifolius,-89.920651,32.542906,gbif,10/11/2019,2429555644
Helianthus angustifolius,-89.358016,30.681768,gbif,10/12/2019,2429560229
Helianthus angustifolius,-93.63208,33.750553,gbif,10/12/2019,2429565251
Helianthus angustifolius,-75.660653,35.873366,gbif,10/13/2019,2429572287
Helianthus angustifolius,-90.5075,30.646952,gbif,10/13/2019,2429576674
Helianthus angustifolius,-94.951682,29.457972,gbif,10/13/2019,2429579766
Helianthus angustifolius,-95.40363,29.761385,gbif,10/14/2019,2429587516
Helianthus angustifolius,-95.449299,29.766986,gbif,10/14/2019,2429591533
Helianthus angustifolius,-91.105739,30.370045,gbif,10/15/2019,2429601272
Helianthus angustifolius,-84.082916,30.51842,gbif,10/15/2019,2429602551
Helianthus angustifolius,-82.541855,29.471534,gbif,10/13/2019,2429611236
Helianthus angustifolius,-88.629844,30.566094,gbif,10/15/2019,2429613206
Helianthus angustifolius,-93.15798,34.248854,gbif,10/16/2019,2429617939
Helianthus angustifolius,-86.051369,31.92063,gbif,10/16/2019,2429619185
Helianthus angustifolius,-88.756517,30.398675,gbif,10/17/2019,2429624794
Helianthus angustifolius,-86.473126,34.644385,gbif,10/23/2019,2444966271
Helianthus angustifolius,-94.949717,29.457106,gbif,10/23/2019,2444988835
Helianthus angustifolius,-92.46674,31.450711,gbif,10/20/2019,2444994075
Helianthus angustifolius,-94.704282,31.3307,gbif,10/24/2019,2445017241
Helianthus angustifolius,-94.954246,29.795135,gbif,10/20/2019,2445064104
Helianthus angustifolius,-81.75947,29.467847,gbif,10/20/2019,2445099578
Helianthus angustifolius,-88.655364,30.451589,gbif,10/18/2019,2445103818
Helianthus angustifolius,-89.803153,33.800822,gbif,10/22/2019,2447925036
Helianthus angustifolius,-85.944148,31.807455,gbif,10/25/2019,2447934418
Helianthus angustifolius,-91.496272,34.779433,gbif,10/5/2019,2447938195
Helianthus angustifolius,-87.635602,30.345422,gbif,10/16/2019,2447952080
Helianthus angustifolius,-90.177986,30.523279,gbif,10/27/2019,2447957378
Helianthus angustifolius,-78.144231,34.032741,gbif,10/26/2019,2447957735
Helianthus angustifolius,-94.942767,29.455147,gbif,10/27/2019,2447958304
Helianthus angustifolius,-94.43521,33.462389,gbif,10/27/2019,2447962480
Helianthus angustifolius,-88.6408,30.406778,gbif,10/29/2019,2447993590
Helianthus angustifolius,-86.472778,34.643889,gbif,10/20/2019,2448000896
Helianthus angustifolius,-73.90678,40.680384,gbif,10/4/2019,2451681501
Helianthus angustifolius,-92.429037,34.754488,gbif,10/31/2019,2451682728
Helianthus angustifolius,-95.629021,29.367111,gbif,10/11/2019,2451754657
Helianthus angustifolius,-95.483294,29.477039,gbif,10/22/2019,2456511795
Helianthus angustifolius,-89.856753,34.068509,gbif,10/13/2019,2456523812
Helianthus angustifolius,-85.205747,30.190301,gbif,10/3/2019,2460114782
Helianthus angustifolius,-95.449328,29.767087,gbif,10/13/2019,2465224182
Helianthus angustifolius,-88.087996,30.24785,gbif,10/27/2019,2465337106
Helianthus angustifolius,-86.703766,31.972372,gbif,11/1/2019,2451686717
Helianthus angustifolius,-81.562007,26.457004,gbif,11/1/2019,2451689914
Helianthus angustifolius,-86.940979,30.846209,gbif,11/2/2019,2451706090
Helianthus angustifolius,-95.211409,29.932803,gbif,11/1/2019,2451733897
Helianthus angustifolius,-88.630761,30.377731,gbif,11/8/2019,2456526491
Helianthus angustifolius,-78.461887,34.057009,gbif,11/2/2019,2456539557
Helianthus angustifolius,-82.370931,27.400249,gbif,11/18/2019,2460012497
Helianthus angustifolius,-94.378988,30.581137,gbif,11/16/2019,2460048646
Helianthus angustifolius,-81.559945,26.452688,gbif,11/16/2019,2460118858
Helianthus angustifolius,-88.654422,30.45211,gbif,11/9/2019,2460124779
Helianthus angustifolius,-84.9598,30.040911,gbif,11/25/2019,2465219164
Helianthus angustifolius,-94.953975,29.459122,gbif,11/21/2019,2465296611
Helianthus angustifolius,-84.924348,30.192086,gbif,11/25/2019,2465304114
Helianthus angustifolius,-93.162575,30.94199,gbif,4/28/2018,1841225136
Helianthus angustifolius,-94.764907,29.527457,gbif,4/28/2018,1841232654
