Family,Genus,Species hybrid marker,Species,Taxonomic status in TPL,,Stephens Species
Compositae,Helianthus,,agrestis,Accepted,,agrestis
Compositae,Helianthus,,ambiguus,Accepted,,angustifolius
Compositae,Helianthus,,angustifolius,Accepted,,anuus
Compositae,Helianthus,,annuus,Accepted,,argophyllus
Compositae,Helianthus,,anomalus,Accepted,,arizonensis
Compositae,Helianthus,,argophyllus,Accepted,,atrorubens
Compositae,Helianthus,,arizonensis,Accepted,,carnosus
Compositae,Helianthus,,atrorubens,Accepted,,cusickii
Compositae,Helianthus,,atrorubens,Accepted,,debilis ssp. Debilis
Compositae,Helianthus,,bolanderi,Accepted,,debilis ssp. Silvestris
Compositae,Helianthus,,brevifolius,Accepted,,debilis ssp. Tardiflorus
Compositae,Helianthus,,californicus,Accepted,,divaricatus
Compositae,Helianthus,,carnosus,Accepted,,exilis
Compositae,Helianthus,,ciliaris,Accepted,,floridanus
Compositae,Helianthus,,cinereus,Accepted,,giganteus
Compositae,Helianthus,,coloradensis,Accepted,,gracilentus
Compositae,Helianthus,,cusickii,Accepted,,grosseserratus
Compositae,Helianthus,,debilis,Accepted,,heterophyllus
Compositae,Helianthus,,debilis,Accepted,,laciniatus
Compositae,Helianthus,,debilis,Accepted,,longifolius
Compositae,Helianthus,,debilis,Accepted,,maximiliani
Compositae,Helianthus,,decapetalus,Accepted,,microcephalus
Compositae,Helianthus,,deserticola,Accepted,,mollis
Compositae,Helianthus,,diffusus,Accepted,,neglectus
Compositae,Helianthus,,dissectifolius,Accepted,,niveus ssp. Canscens
Compositae,Helianthus,,divaricatus,Accepted,,niveus ssp. Tephrodes
Compositae,Helianthus,×,divariserratus,Accepted,,nuttallii ssp. Nuttallii
Compositae,Helianthus,,doronicoides,Accepted,,occidentalis
Compositae,Helianthus,,exilis,Accepted,,petiolaris
Compositae,Helianthus,,floridanus,Accepted,,porteri
Compositae,Helianthus,,giganteus,Accepted,,praecox ssp hirtus
Compositae,Helianthus,,glaucophyllus,Accepted,,praecox ssp praecox
Compositae,Helianthus,,glaucus,Accepted,,praecox ssp. Runyonii
Compositae,Helianthus,,gracilentus,Accepted,,radula
Compositae,Helianthus,,grosseserratus,Accepted,,salicifolius
Compositae,Helianthus,,heterophyllus,Accepted,,silphioides
Compositae,Helianthus,,hirsutus,Accepted,,verticillatus
Compositae,Helianthus,×,intermedius,Accepted,,
Compositae,Helianthus,,laciniatus,Accepted,,
Compositae,Helianthus,×,laetiflorus,Accepted,,
Compositae,Helianthus,,laevigatus,Accepted,,
Compositae,Helianthus,,lenticularis,Accepted,,
Compositae,Helianthus,,longifolius,Accepted,,
Compositae,Helianthus,×,luxurians,Accepted,,
Compositae,Helianthus,,maximiliani,Accepted,,
Compositae,Helianthus,,membranifolius,Accepted,,
Compositae,Helianthus,,mollis,Accepted,,
Compositae,Helianthus,,multiflorus,Accepted,,
Compositae,Helianthus,,navarri,Accepted,,
Compositae,Helianthus,,neglectus,Accepted,,
Compositae,Helianthus,,niveus,Accepted,,
Compositae,Helianthus,,niveus,Accepted,,
Compositae,Helianthus,,nuttallii,Accepted,,
Compositae,Helianthus,,nuttallii,Accepted,,
Compositae,Helianthus,,nuttallii,Accepted,,
Compositae,Helianthus,,occidentalis,Accepted,,
Compositae,Helianthus,,occidentalis,Accepted,,
Compositae,Helianthus,,orgyaloides,Accepted,,
Compositae,Helianthus,,paradoxus,Accepted,,
Compositae,Helianthus,,pauciflorus,Accepted,,
Compositae,Helianthus,,pauciflorus,Accepted,,
Compositae,Helianthus,,petiolaris,Accepted,,
Compositae,Helianthus,,petiolaris,Accepted,,
Compositae,Helianthus,,petiolaris,Accepted,,
Compositae,Helianthus,,porteri,Accepted,,
Compositae,Helianthus,,praecox,Accepted,,
Compositae,Helianthus,,praecox,Accepted,,
Compositae,Helianthus,,praecox,Accepted,,
Compositae,Helianthus,,praetermissus,Accepted,,
Compositae,Helianthus,,pumilus,Accepted,,
Compositae,Helianthus,,radula,Accepted,,
Compositae,Helianthus,,resinosus,Accepted,,
Compositae,Helianthus,,salicifolius,Accepted,,
Compositae,Helianthus,,sarmentosus,Accepted,,
Compositae,Helianthus,,scaberrimus,Accepted,,
Compositae,Helianthus,,schweinitzii,Accepted,,
Compositae,Helianthus,,silphioides,Accepted,,
Compositae,Helianthus,,simulans,Accepted,,
Compositae,Helianthus,,smithii,Accepted,,
Compositae,Helianthus,,speciosus,Accepted,,
Compositae,Helianthus,,subcanescens,Accepted,,
Compositae,Helianthus,,subtuberosus,Accepted,,
Compositae,Helianthus,,tuberosus,Accepted,,
Compositae,Helianthus,×,verticillatus,Accepted,,
